,时间,开盘,收盘,最高,最低,成交量,成交额,最新价
0,2025-02-24 09:15:00,182.98,182.98,182.98,182.98,0,0.0,182.98
1,2025-02-24 09:16:00,182.98,182.99,182.99,182.98,0,0.0,182.98
2,2025-02-24 09:17:00,182.99,182.99,182.99,182.99,0,0.0,182.98
3,2025-02-24 09:18:00,182.99,182.99,182.99,182.99,0,0.0,182.98
4,2025-02-24 09:19:00,182.99,182.99,182.99,182.99,0,0.0,182.98
5,2025-02-24 09:20:00,182.99,182.99,182.99,182.99,0,0.0,182.98
6,2025-02-24 09:21:00,182.99,182.99,182.99,182.99,0,0.0,182.98
7,2025-02-24 09:22:00,182.99,182.99,182.99,182.99,0,0.0,182.98
8,2025-02-24 09:23:00,182.99,182.99,182.99,182.99,0,0.0,182.98
9,2025-02-24 09:24:00,182.99,182.5,182.99,182.2,0,0.0,182.98
10,2025-02-24 09:25:00,182.5,180.87,182.5,180.87,0,0.0,182.98
11,2025-02-24 09:26:00,180.95,180.95,180.95,180.95,1331,24084445.0,180.95
12,2025-02-24 09:27:00,180.95,180.95,180.95,180.95,0,0.0,180.95
13,2025-02-24 09:28:00,180.95,180.95,180.95,180.95,0,0.0,180.95
14,2025-02-24 09:29:00,180.95,180.95,180.95,180.95,0,0.0,180.95
15,2025-02-24 09:30:00,180.95,180.95,180.95,180.95,0,0.0,180.95
16,2025-02-24 09:31:00,180.78,178.4,180.78,178.33,2562,46016789.0,180.07
17,2025-02-24 09:32:00,178.13,176.1,178.13,176.0,5013,88866551.0,178.495
18,2025-02-24 09:33:00,176.1,176.79,176.79,175.01,5146,90453123.0,177.499
19,2025-02-24 09:34:00,176.25,175.06,176.25,174.25,6487,113695638.0,176.794
20,2025-02-24 09:35:00,175.07,174.3,175.07,174.0,4075,71120287.0,176.419
21,2025-02-24 09:36:00,174.33,174.3,174.88,174.21,3977,69399420.0,176.152
22,2025-02-24 09:37:00,174.32,175.23,175.35,174.32,2695,47142368.0,176.048
23,2025-02-24 09:38:00,175.22,175.17,175.38,175.05,3803,66644610.0,175.959
24,2025-02-24 09:39:00,175.0,174.94,175.01,174.7,3962,69293355.0,175.852
25,2025-02-24 09:40:00,175.49,176.9,177.0,175.49,1745,30783631.0,175.876
26,2025-02-24 09:41:00,177.26,176.69,177.45,176.69,2573,45605977.0,175.957
27,2025-02-24 09:42:00,176.74,175.5,176.74,175.2,2763,48548693.0,175.943
28,2025-02-24 09:43:00,175.75,176.0,176.0,175.5,1865,32782340.0,175.936
29,2025-02-24 09:44:00,176.0,176.2,176.2,176.0,1797,31655302.0,175.944
30,2025-02-24 09:45:00,176.2,177.97,177.97,176.2,1633,28929962.0,175.983
31,2025-02-24 09:46:00,177.97,176.62,177.97,176.5,1815,32203156.0,176.032
32,2025-02-24 09:47:00,176.72,177.51,177.51,176.62,1262,22332262.0,176.053
33,2025-02-24 09:48:00,177.53,176.88,177.55,176.88,1514,26838582.0,176.086
34,2025-02-24 09:49:00,176.91,177.0,177.0,176.88,1314,23252843.0,176.106
35,2025-02-24 09:50:00,177.0,176.86,177.03,176.86,990,17520708.0,176.121
36,2025-02-24 09:51:00,176.8,176.16,176.8,176.16,948,16732930.0,176.127
37,2025-02-24 09:52:00,176.05,175.55,176.05,175.55,1376,24208584.0,176.123
38,2025-02-24 09:53:00,175.5,174.7,175.5,174.7,2301,40273267.0,176.083
39,2025-02-24 09:54:00,174.69,174.6,174.69,174.5,2568,44827711.0,176.023
40,2025-02-24 09:55:00,174.65,174.73,174.73,174.6,2135,37286894.0,175.98
41,2025-02-24 09:56:00,174.69,174.62,174.74,174.62,1724,30114777.0,175.947
42,2025-02-24 09:57:00,174.6,174.48,174.6,174.48,1774,30963174.0,175.912
43,2025-02-24 09:58:00,174.47,174.16,174.47,174.14,1663,28975089.0,175.874
44,2025-02-24 09:59:00,174.11,173.88,174.11,173.86,3728,64875018.0,175.784
45,2025-02-24 10:00:00,173.87,173.07,173.87,173.02,1724,29908453.0,175.733
46,2025-02-24 10:01:00,173.02,172.06,173.02,172.0,4291,74037942.0,175.567
47,2025-02-24 10:02:00,172.0,172.05,172.05,171.03,3978,68276263.0,175.386
48,2025-02-24 10:03:00,172.1,171.99,172.11,171.89,3231,55570614.0,175.264
49,2025-02-24 10:04:00,171.94,172.0,172.0,171.93,1709,29388932.0,175.203
50,2025-02-24 10:05:00,171.98,172.06,172.09,171.98,2126,36563912.0,175.13
51,2025-02-24 10:06:00,172.11,172.33,172.36,172.09,1336,22998329.0,175.088
52,2025-02-24 10:07:00,172.5,172.7,172.84,172.5,1656,28600572.0,175.047
53,2025-02-24 10:08:00,172.76,172.79,172.84,172.69,1299,22443750.0,175.017
54,2025-02-24 10:09:00,172.79,172.86,172.88,172.79,777,13428101.0,175.0
55,2025-02-24 10:10:00,172.85,172.7,172.85,172.7,1081,18680706.0,174.976
56,2025-02-24 10:11:00,172.69,172.36,172.69,172.36,855,14755206.0,174.956
57,2025-02-24 10:12:00,172.39,172.19,172.39,172.19,843,14520905.0,174.933
58,2025-02-24 10:13:00,172.19,172.1,172.19,172.1,1161,19985110.0,174.902
59,2025-02-24 10:14:00,172.1,171.92,172.1,171.91,1882,32369945.0,174.849
60,2025-02-24 10:15:00,171.96,171.96,171.96,171.9,1517,26079203.0,174.807
61,2025-02-24 10:16:00,171.98,172.5,172.5,171.98,1042,17940166.0,174.782
62,2025-02-24 10:17:00,172.5,172.88,172.89,172.5,827,14284663.0,174.765
63,2025-02-24 10:18:00,172.95,173.51,173.51,172.95,422,7305580.0,174.759
64,2025-02-24 10:19:00,173.55,174.16,174.21,173.55,862,14994623.0,174.753
65,2025-02-24 10:20:00,174.08,173.64,174.08,173.64,1284,22323427.0,174.742
66,2025-02-24 10:21:00,173.61,174.85,175.64,173.5,1684,29406777.0,174.74
67,2025-02-24 10:22:00,174.86,174.3,174.89,174.28,755,13189901.0,174.74
68,2025-02-24 10:23:00,174.28,174.96,174.96,174.28,441,7696914.0,174.739
69,2025-02-24 10:24:00,174.88,175.18,175.2,174.88,759,13286643.0,174.741
70,2025-02-24 10:25:00,175.15,174.55,175.2,174.55,648,11344499.0,174.743
71,2025-02-24 10:26:00,174.68,173.8,174.68,173.8,448,7805949.0,174.741
72,2025-02-24 10:27:00,173.7,173.02,173.7,173.02,576,9984498.0,174.734
73,2025-02-24 10:28:00,173.07,173.2,173.2,173.02,636,11007040.0,174.725
74,2025-02-24 10:29:00,173.19,173.34,173.34,173.17,493,8540924.0,174.719
75,2025-02-24 10:30:00,173.36,173.38,173.38,173.33,316,5478273.0,174.715
76,2025-02-24 10:31:00,173.38,173.25,173.38,173.25,612,10606682.0,174.708
77,2025-02-24 10:32:00,173.22,173.17,173.25,173.17,611,10582351.0,174.7
78,2025-02-24 10:33:00,173.18,173.1,173.18,173.1,408,7063966.0,174.695
79,2025-02-24 10:34:00,173.09,172.9,173.09,172.9,737,12750624.0,174.684
80,2025-02-24 10:35:00,172.9,173.01,173.01,172.84,482,8333677.0,174.677
81,2025-02-24 10:36:00,173.01,173.18,173.19,173.01,395,6837744.0,174.672
82,2025-02-24 10:37:00,173.19,173.2,173.2,173.17,544,9421371.0,174.665
83,2025-02-24 10:38:00,173.2,174.39,174.39,173.2,610,10595817.0,174.66
84,2025-02-24 10:39:00,174.4,174.64,174.65,174.4,407,7104434.0,174.66
85,2025-02-24 10:40:00,174.64,174.3,174.66,174.3,398,6947726.0,174.66
86,2025-02-24 10:41:00,174.28,173.99,174.3,173.87,459,7991876.0,174.658
87,2025-02-24 10:42:00,173.89,173.45,173.98,173.45,486,8447789.0,174.654
88,2025-02-24 10:43:00,173.43,173.74,173.76,173.4,283,4910921.0,174.652
89,2025-02-24 10:44:00,173.77,173.91,173.91,173.74,321,5579368.0,174.65
90,2025-02-24 10:45:00,173.91,174.0,174.0,173.91,398,6924333.0,174.647
91,2025-02-24 10:46:00,174.07,174.11,174.12,174.03,271,4717448.0,174.646
92,2025-02-24 10:47:00,174.11,174.0,174.12,174.0,511,8895622.0,174.644
93,2025-02-24 10:48:00,173.99,173.96,173.99,173.96,534,9290080.0,174.641
94,2025-02-24 10:49:00,173.97,173.85,173.97,173.84,420,7305025.0,174.639
